;;;;;;USA/CANADA;;;;;;;;OTHERS;;UK;;;;;;;;;;SPAIN;;FRANCE;;;;;;;;;;;;;;;Autres EUR;;;AMLAT;;;ASIA;ASIA;ASIA;;
Pays;Domaine ou Marque;Couleur;Nom du vin;Millésime;Available;Wine Spectator;Wine Enthusiast;Wine Advocate;Wine & Spirits;Vinous;James Suckling;Wine Align;Jeb Dunnuck;Miquel Hudin;TASTED Andreas Larson;Decanter;IWC;IWSC;Tim Atkin;Jancis Robinson;Wine Merchant Magazine;Wine Anorak;Harpers;Sommelier Edit Awards (Via CIVR);Drinks Business;Gourmets;Guia Penin;RVF;Le Point;Terre de Vins;Anivin;Mondial Grenache;Mondial SB;Gilbert & Gaillard;Sud-Ouest;Concours de Bruxelles;Académie des Vins et de la Gastronomie;Concours Général Agricole de Paris;Concours IGP;Bettane & Desseauve;PARIS INTERNATIONAL TROPHY;GILBERT & GAILLARD (gold entre 87 et 89 / dble gold à partir 90);Falstaff;Yves Beck;Mundus vini;Descorchados;Vinomanos;la CAV;Tatler HK;Jeannie Cho Lee MW;Sakura Wine Awards;RECAP EMAIL;date_ajout
Argentine;Bodega Piedra Negra ;Blanc ;Chardonnay Reserve;2020;X;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Chardonnay Reserve;2021;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Gran Lurton Blanco;2007;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Gran Lurton Blanco;2015;;;;90;;;93;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Gran Lurton Blanco;2016;;;;;;88;96;;;;;;;;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Gran Lurton Blanco;2017;;;;;;90;92;;;;;95;;;95;;;;;;;;;;;;;;;;;;;;;;;;;;;93;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Gran Lurton Blanco;2018;;;;;;93;;;;;;88;;;95;16;;91;;;;;;;;;;;;;;;;;;;;;;;;93;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Gran Lurton Blanco;2019;;;;;;92;95;;;;;;;;96;;;;;;;;;;;;;;;;;;;;;;;;;;;93;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Gran Lurton Blanco;2020;;;;;;93;96;;;;;;;;96;;;;;;;;;;;;;;;;;;;;;;;;;;;94;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Gran Lurton Blanco;2021;;;90;92;;94;94 - TOP 100;;;;;;;;95 - Best white blend;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"90WE ; 92WA ; 94V ; 94JS (Top 100); 95TA (Best white Blend)";
Argentine;Bodega Piedra Negra ;Blanc ;Gran Lurton Blanco;2022;x;;;91;;93;94 - TOP 100 N°49, wines of Argentina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94;;;;;;"91WA ; 93V ; 94JS (TOP 100 n°49 - wines of Argentina) ; 94D";
Argentine;Bodega Piedra Negra ;Blanc ;Gran Lurton Blanco;2023;x;;"94 
(Hidden Gem)";;;;93;;;;;;;;96 - Best white blend;17+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"96TA (Best White Blend) ; 17+JR ; 93JS";
